Date,neg,neu,pos,compound
2020-02-26,0.023,0.9359999999999999,0.040999999999999995,0.06255
2020-02-27,0.03933333333333333,0.7733333333333334,0.18733333333333335,0.26783333333333337
2020-02-28,0.10033333333333333,0.7116666666666666,0.18799999999999997,0.09650000000000002
2020-03-02,0.08099999999999999,0.882,0.037,-0.20484999999999998
2020-03-03,0.0,1.0,0.0,0.0
2020-03-05,0.04133333333333333,0.8666666666666667,0.09200000000000001,0.30973333333333336
2020-03-06,0.0,0.718,0.282,0.8481
2020-03-10,0.044,0.8494999999999999,0.1065,0.26335
2020-03-12,0.1425,0.8574999999999999,0.0,-0.4844
2020-03-13,0.1494,0.7822,0.0686,-0.45926
2020-03-16,0.06,0.90525,0.03475,-0.1752
2020-03-17,0.0,0.948,0.052,0.3818
2020-03-18,0.0,0.954,0.046,0.2023
2020-03-19,0.012666666666666666,0.9536666666666666,0.033666666666666664,0.1492666666666667
2020-03-20,0.013333333333333334,0.941,0.04566666666666667,0.1863
2020-03-24,0.12,0.693,0.187,0.296
2020-03-25,0.0,1.0,0.0,0.0
2020-03-26,0.0,0.823,0.177,0.875
2020-03-27,0.04,0.9275,0.0325,-0.050949999999999995
2020-03-30,0.01975,0.9325,0.04775,0.09485
2020-03-31,0.031,0.843,0.126,0.360225
2020-04-01,0.1305,0.703,0.1665,0.1786
2020-04-03,0.0535,0.909,0.0375,-0.04879999999999998
2020-04-07,0.0,0.574,0.426,0.9538
2020-04-08,0.0965,0.8495,0.054,-0.04640000000000005
2020-04-09,0.0,0.8295,0.17049999999999998,0.71095
2020-04-13,0.0,0.907,0.093,0.4857
2020-04-14,0.154,0.757,0.089,-0.3612
2020-04-16,0.162,0.838,0.0,-0.7351
2020-04-20,0.157,0.75,0.093,-0.2023
2020-04-21,0.172,0.828,0.0,-0.7034
2020-04-22,0.0,0.781,0.21899999999999997,0.5194
2020-04-23,0.0,1.0,0.0,0.0
2020-04-24,0.09,0.7842,0.126,0.028779999999999993
2020-04-27,0.05275,0.8045,0.14275,0.20417500000000002
2020-04-28,0.0535,0.867,0.0795,0.19619999999999999
2020-04-29,0.03,0.87,0.101,0.6249
2020-04-30,0.0,1.0,0.0,0.0
2020-05-01,0.0,0.869,0.131,0.7096
2020-05-04,0.0,0.938,0.062,0.2377
2020-05-05,0.0,0.974,0.026,0.10115
2020-05-06,0.0,0.952,0.048,0.0772
2020-05-07,0.07050000000000001,0.84425,0.08524999999999999,0.03115000000000001
2020-05-08,0.034666666666666665,0.86,0.10533333333333333,0.2586666666666667
2020-05-11,0.0,0.9625,0.0375,0.1909
2020-05-12,0.0,1.0,0.0,0.0
2020-05-14,0.03975,0.873,0.08725,0.372625
